Acero		
Tiempo	Fuerza	Desplazamiento
seg	N	mm
6.84	2634.859	0.5672292
6.85	2634.954	0.5680625
6.86	2632.809	0.5688958
6.87	2636.528	0.5697187
6.88	2638.912	0.5705521
6.89	2641.869	0.571375
6.9	2643.156	0.5722083
6.91	2645.302	0.573052
6.92	2646.065	0.5738854
6.93	2646.113	0.5747291
6.94	2649.116	0.5755833
6.95	2651.167	0.5764271
6.96	2650.642	0.5772708
6.97	2653.36	0.5781041
6.98	2655.411	0.5789375
6.99	2656.937	0.5797604
7	2657.7	0.5805833
7.01	2659.13	0.5814062
7.02	2661.228	0.5822291
7.03	2665.52	0.5830521
7.04	2666.044	0.583875
7.05	2665.281	0.5847083
7.06	2665.186	0.5855417
7.07	2670.05	0.586375
7.08	2672.052	0.5872188
7.09	2671.957	0.5880625
7.1	2672.243	0.5888958
7.11	2674.293	0.5897188
7.12	2677.727	0.5905417
7.13	2677.059	0.591375
7.14	2678.204	0.5922083
7.15	2679.3	0.5930521
7.16	2681.971	0.5938854
7.17	2685.022	0.5947292
7.18	2687.55	0.5955625
7.19	2685.547	0.5964167
7.2	2687.645	0.5972708
7.21	2687.12	0.5981042
7.22	2687.931	0.5989375
7.23	2690.649	0.5997708
7.24	2692.223	0.6005833
7.25	2694.464	0.6014062
7.26	2694.75	0.6022292
7.27	2695.131	0.6030625
7.28	2696.133	0.603875
7.29	2699.28	0.6046979
7.3	2699.947	0.6055312
7.31	2701.235	0.6063645
7.32	2703.238	0.6072083
7.33	2706.528	0.6080521
7.34	2705.383	0.6088854
7.35	2707.1	0.6097187
7.36	2708.292	0.6105521
7.37	2707.815	0.6113854
7.38	2708.721	0.6122187
7.39	2711.058	0.6130521
7.4	2710.771	0.613875
7.41	2712.25	0.6147187
7.42	2714.92	0.6155625
7.43	2716.732	0.6164063
7.44	2717.59	0.61725
7.45	2719.879	0.6180937
7.46	2720.451	0.6189375
7.47	2720.69	0.6197708
7.48	2723.408	0.6206042
7.49	2726.173	0.6214167
7.5	2727.079	0.6222396
7.51	2727.222	0.6230625
7.52	2726.889	0.6238854
7.53	2727.318	0.6247187
7.54	2728.128	0.6255417
7.55	2729.082	0.626375
7.56	2730.322	0.6272084
7.57	2731.943	0.6280625
7.58	2732.706	0.6288958
7.59	2733.994	0.6297292
7.6	2734.184	0.6305625
7.61	2737.284	0.6313958
7.62	2737.188	0.6322187
7.63	2738.571	0.6330521
7.64	2737.617	0.6338854
7.65	2739.429	0.6347291
7.66	2739.859	0.635552
7.67	2742.1	0.6363958
7.68	2743.34	0.6372396
7.69	2745.724	0.6380833
7.7	2745.915	0.6389271
